time,1 AV,103 ST
2015-06-13,22985.8333333,23939.6666667
2015-06-20,22509.5,23813.0
2015-06-27,21533.0,22778.5
2015-07-04,21622.1666667,21754.5
2015-07-11,20351.5,21060.3333333
2015-07-18,21270.8333333,20967.6666667
2015-07-25,21063.6666667,21064.1666667
2015-08-01,20582.1666667,20715.6666667
2015-08-08,20498.3333333,21079.7333333
2015-08-15,20207.1666667,20596.8333333
2015-08-22,19384.1666667,20338.1666667
2015-08-29,19474.0,19638.8333333
2015-09-05,19570.5,20193.5
2015-09-12,19183.5,19996.5
2015-09-19,21658.8333333,26150.8333333
2015-09-26,21280.3333333,24811.8333333
2015-10-03,22731.0,29051.8333333
2015-10-10,22425.1666667,29094.5
2015-10-17,21960.8333333,28348.3333333
2015-10-24,22807.0,29973.1666667
2015-10-31,23288.0,29946.6666667
2015-11-07,23660.6666667,30338.6666667
2015-11-14,22146.6666667,29329.6666667
2015-11-21,22188.6666667,30081.6666667
2015-11-28,19198.8333333,27054.1666667
2015-12-05,20130.0,28843.1666667
2015-12-12,22676.6666667,30868.6666667
2015-12-19,22737.1666667,30820.8333333
2015-12-26,18931.6666667,27245.1666667
2016-01-02,17082.3333333,24660.6666667
2016-01-09,20406.6666667,27580.6666667
2016-01-16,21282.3333333,5146483.86667
2016-01-23,20457.6666667,26677.0
2016-01-30,19619.5,24636.8333333
2016-02-06,22423.8333333,26088.6666667
2016-02-13,22041.3333333,25973.0
2016-02-20,18884.8333333,21515.4666667
2016-02-27,25095575.3333,22700.3333333
2016-03-05,21850.0,25482.5
2016-03-12,22032.8333333,25843.6666667
2016-03-19,21649.8333333,25977.3333333
2016-03-26,21315.5,23547.3333333
2016-04-02,21773.6666667,25129.5
2016-04-09,21875.6666667,25940.8333333
2016-04-16,22734.0,11089253.3333
2016-04-23,22755.3333333,26054.8333333
2016-04-30,20506.1666667,23367.0
2016-05-07,22457.1666667,26229.3333333
2016-05-14,22160.3333333,26461.0
2016-05-21,23002.8333333,27401.6666667
2016-05-28,22770.5,26859.75
2016-06-04,19540.7,25441.1666667
2016-06-11,22254.3333333,29093.0
2016-06-18,22097.8333333,29278.8333333
2016-06-25,21362.5,28604.8333333
2016-07-02,21009.8333333,28210.1666667
2016-07-09,17453.1666667,23492.8333333
2016-07-16,19961.0,27187.3333333
2016-07-23,19802.0,27575.0
2016-07-30,19206.8333333,27204.0
2016-08-06,18787.6666667,26893.5
2016-08-13,18349.6666667,26408.3333333
2016-08-20,17548.8333333,25356.5
2016-08-27,17386.1666667,23681.0
2016-09-03,17836.3333333,24050.0
2016-09-10,17107.3333333,24666.5
2016-09-17,20767.6666667,27302.1666667
2016-09-24,21188.6666667,28375.4166667
2016-10-01,21203.3333333,29932.6666667
2016-10-08,17636.0,28491.5
2016-10-15,19445.0,27792.0
2016-10-22,20823.0,30333.8333333
2016-10-29,21430.5,30758.3333333
2016-11-05,220471927.767,10021406.9667
2016-11-12,21164.5,30250.3333333
2016-11-19,21153.8333333,30479.1666667
2016-11-26,18269.0,27295.3333333
2016-12-03,19334.0,29229.3333333
2016-12-10,21082.0,31314.3333333
2016-12-17,21277.6666667,31310.1666667
2016-12-24,20106.1666667,29490.6666667
2016-12-31,12612.8333333,21986.6666667
2017-01-07,17584.8333333,25547.3333333
2017-01-14,18309.6666667,27872.6666667
2017-01-21,17690.3333333,26143.0
2017-01-28,18705.5,27784.5
2017-02-04,19383.1666667,28102.3333333
2017-02-11,17880.3333333,26270.0
2017-02-18,19522.6666667,28427.8333333
2017-02-25,17967.5,23812.8666667
2017-03-04,20209.5,25628.3333333
2017-03-11,20166.5,28335.8333333
2017-03-18,17935.6666667,24717.3333333
2017-03-25,20682.3333333,28753.8333333
2017-04-01,20739.0,28522.0
2017-04-08,20650.0,29348.0333333
